City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,uturoa,PF,82.53,light rain,-16.7333,-151.4333,Hawaiki Nui hotel
12,puerto ayora,EC,74.55,clear sky,-0.7393,-90.3518,Hostal La Mirada De Solitario George
16,avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
20,saipan,MP,86.7,scattered clouds,15.1355,145.701,Chalan Kanoa Beach Hotel
26,port mathurin,MU,78.71,clear sky,-19.6833,63.4167,Escale Vacances
30,touros,BR,75.42,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
35,cockburn town,TC,79.77,overcast clouds,21.4612,-71.1419,The Salt Raker Inn
36,nabire,ID,82.72,overcast clouds,-3.3667,135.4833,Hotel Anggrek
43,kingston,JM,81.55,few clouds,17.997,-76.7936,Aphrodite Hotel
45,kimbe,PG,81.93,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
54,bikenibeu village,KI,85.96,broken clouds,1.3673,173.1241,Otintaai Hotel
55,afaahiti,PF,78.67,overcast clouds,-17.75,-149.2833,Omati Lodge
57,wailua homesteads,US,72.03,scattered clouds,22.0669,-159.378,Hilton Garden Inn Kauai Wailua Bay
63,west island,CC,84.18,scattered clouds,-12.1568,96.8225,Cocos Village Bungalows
80,axim,GH,80.6,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
82,acapulco de juarez,MX,77.99,clear sky,16.8634,-99.8901,Hotel del Valle
85,anshun,CN,72.95,overcast clouds,26.25,105.9333,百灵希尔顿逸林酒店
89,belo sur tsiribihina,MG,81.46,clear sky,-19.7,44.55,Karibo
101,tual,ID,79.07,moderate rain,-5.6667,132.75,Suita
102,daru,PG,81.95,moderate rain,-9.0763,143.2092,Kuki
107,kapa'a,US,73.38,scattered clouds,22.0752,-159.319,Pono Kai Resort
108,weno,FM,82.4,overcast clouds,7.4515,151.8468,High Tide Hotel
112,pariaman,ID,86.05,light rain,-0.619,100.12,HOTEL NAN TONGGA
115,hasaki,JP,72.28,clear sky,35.7333,140.8333,大新旅館
118,namanga,KE,70.27,broken clouds,-2.5433,36.7905,Namange Masaai Hotel
122,port blair,IN,88.52,overcast clouds,11.6667,92.75,Andaman Ocean Breeze
124,hithadhoo,MV,81.0,overcast clouds,-0.6,73.0833,Pebbles Inn
126,kollam,IN,78.93,overcast clouds,8.8833,76.6,Hotel Sea Palace
131,selebi-phikwe,BW,72.66,clear sky,-21.979,27.8498,Cresta Bosele Hotel
132,antsiranana,MG,84.96,few clouds,-12.2787,49.2917,Central
139,fundacion,CO,76.59,broken clouds,10.5207,-74.185,Hotel Macondo
147,isla mujeres,MX,73.17,overcast clouds,21.2311,-86.731,Villa La Bella
153,zeerust,ZA,71.53,scattered clouds,-25.5369,26.0751,At Rest Guesthouse
165,dwarka,IN,84.49,clear sky,22.2394,68.9678,The Dwarika Hotel
167,ouani,KM,81.54,broken clouds,-12.1322,44.4258,Al Amal
168,machico,PT,74.01,few clouds,32.7,-16.7667,Residence Inn
172,geraldton,AU,86.41,clear sky,-28.7667,114.6,Ocean Centre Hotel
178,progreso,MX,78.12,overcast clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
181,caleta de carquin,PE,72.54,broken clouds,-11.0925,-77.6267,Hotel Mi Choacan
185,lorengau,PG,82.17,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
192,erenhot,CN,75.38,few clouds,43.6475,111.9767,Oulen hotel
193,cabo san lucas,MX,70.61,overcast clouds,22.8909,-109.9124,Comfort Rooms
194,barra do bugres,BR,70.97,clear sky,-15.0725,-57.1811,Hotel American Palace
196,tolanaro,MG,73.47,scattered clouds,-25.0319,46.9987,Hôtel Mahavokey
197,alice springs,AU,72.95,overcast clouds,-23.7,133.8833,Aurora Alice Springs
220,trujillo,PE,71.56,mist,-8.116,-79.03,Hostal Ayacucho
230,richards bay,ZA,73.13,overcast clouds,-28.783,32.0377,Protea Hotel
235,olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Fidji Motel
241,sorong,ID,84.02,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
243,ghadamis,LY,72.46,overcast clouds,30.1337,9.5007,فندق عين الفارس
248,gladstone,AU,75.13,few clouds,-23.85,151.25,Gladstone Downtown Central
249,banda aceh,ID,86.7,overcast clouds,5.5577,95.3222,Hotel 61
250,tobelo,ID,83.43,broken clouds,1.7284,128.0095,JJ Guesthouse
256,moanda,GA,71.83,heavy intensity rain,-1.5575,13.2178,Matsissa
262,tobruk,LY,73.26,broken clouds,32.0836,23.9764,فندق زهرة البطنان -طبرق
263,phalaborwa,ZA,70.88,clear sky,-23.943,31.1411,Hans Merensky Hotel & Estate
264,soufriere,LC,80.2,broken clouds,13.8562,-61.0566,Leisure Inn
278,sao felix do xingu,BR,71.71,overcast clouds,-6.6447,-51.995,Hotel Terraço
280,champerico,GT,82.85,overcast clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
284,lodwar,KE,79.48,overcast clouds,3.1191,35.5973,Lodwar Modern Lodge
287,port douglas,AU,78.49,overcast clouds,-16.4833,145.4667,Mantra Aqueous Port Douglas
294,tyuratam,KZ,73.98,clear sky,45.6507,63.3156,Спутник
300,seryshevo,RU,72.79,light rain,51.0933,128.3786,Гостиница &quot;Тополек&quot;
307,maragogi,BR,75.61,scattered clouds,-9.0122,-35.2225,Pousada Mariluz
311,kavieng,PG,83.95,light rain,-2.5744,150.7967,Kavieng Hotel
319,inhambane,MZ,78.78,few clouds,-23.865,35.3833,Hotel de Inhambane
322,jwaneng,BW,73.36,few clouds,-24.6004,24.7303,Mokala Lodge & Teemane Casino
324,aswan,EG,76.3,clear sky,24.0934,32.907,Yaseen hotel
325,paracuru,BR,76.1,overcast clouds,-3.41,-39.0306,Vento Brasil
326,al fuwayliq,SA,79.54,clear sky,26.4432,43.2534,فندق السلام
328,remire-montjoly,GF,75.24,broken clouds,4.9167,-52.2667,Complexe Belova
350,papao,PF,80.28,light rain,-17.75,-149.55,Hiti Moana Villa Lodge
351,murzuq,LY,86.02,broken clouds,25.9155,13.9184,فندق باريس - مرزق
361,paita,PE,77.29,overcast clouds,-5.0892,-81.1144,Victor's
362,puerto baquerizo moreno,EC,79.16,few clouds,-0.9,-89.6,Dory's House
364,christchurch,NZ,70.48,clear sky,-43.5333,172.6333,Ibis Hotel Christchurch
369,karratha,AU,88.12,overcast clouds,-20.7377,116.8463,Karratha International Hotel
374,tame,CO,74.01,clear sky,6.461,-71.73,hotel libertadores
380,flying fish cove,CX,81.16,clear sky,-10.4217,105.6791,Christmas Island Lodge
382,labuan,MY,89.96,few clouds,5.2767,115.2417,Labuan Avenue Hotel
386,hilo,US,75.27,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
387,korla,CN,71.01,overcast clouds,41.7597,86.1469,Silver Star Hotel
389,darnah,LY,74.97,overcast clouds,32.767,22.6367,فندق الفردوس
392,atakpame,TG,76.17,overcast clouds,7.5333,1.1333,Hôtel St Louis
