City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,taulaga,AS,-11.0553,-171.0883,83.62,76,14,17.02,light rain
1,edinburgh of the seven seas,SH,-37.0676,-12.3116,61.38,80,13,22.41,few clouds
2,uturoa,PF,-16.7333,-151.4333,82.53,78,100,17.58,light rain
3,isafjordur,IS,66.0755,-23.124,32.74,78,52,5.48,broken clouds
4,quellon,CL,-43.1167,-73.6167,37.65,100,40,0.0,scattered clouds
5,smithers,CA,54.7804,-127.1743,48.52,61,0,3.44,clear sky
6,albany,US,42.6001,-73.9662,46.58,86,100,1.01,light rain
7,forster,AU,-32.1667,152.5167,66.15,61,43,1.99,scattered clouds
8,adamstown,PN,-25.066,-130.1015,77.31,79,28,17.09,scattered clouds
9,sursk,RU,53.0754,45.6846,56.16,64,92,5.3,overcast clouds
10,whitehorse,CA,60.7161,-135.0538,43.57,65,75,21.85,broken clouds
11,somerset east,ZA,-32.7217,25.588,56.41,79,69,4.65,broken clouds
12,puerto ayora,EC,-0.7393,-90.3518,74.55,97,8,3.71,clear sky
13,quarai,BR,-30.3875,-56.4514,56.88,95,100,13.78,moderate rain
14,mount pearl,CA,47.5166,-52.7813,33.15,94,100,13.8,overcast clouds
15,thompson,CA,55.7435,-97.8558,37.56,56,0,2.3,clear sky
16,avarua,CK,-21.2078,-159.775,71.65,94,75,9.22,light rain
17,east london,ZA,-33.0153,27.9116,63.54,82,40,4.61,scattered clouds
18,papatowai,NZ,-46.5619,169.4708,60.69,77,100,7.47,overcast clouds
19,vodnyy,RU,63.5046,53.4095,36.39,96,100,11.54,overcast clouds
20,saipan,MP,15.1355,145.701,86.7,100,40,18.41,scattered clouds
21,sitka,US,57.0531,-135.33,46.29,87,100,4.61,moderate rain
22,olonkinbyen,SJ,70.9221,-8.7187,28.51,59,54,7.23,broken clouds
23,laojunmiao,CN,39.8333,97.7333,69.12,9,0,9.69,clear sky
24,arkhangel'sk,RU,64.5401,40.5433,43.23,67,44,11.03,scattered clouds
25,labytnangi,RU,66.6572,66.4183,33.6,95,100,15.82,light snow
26,port mathurin,MU,-19.6833,63.4167,78.71,79,5,8.59,clear sky
27,port-aux-francais,TF,-49.35,70.2167,37.8,72,79,12.53,broken clouds
28,carloforte,IT,39.145,8.3058,61.63,77,6,27.56,clear sky
29,margaret river,AU,-33.95,115.0667,65.68,52,0,11.01,clear sky
30,touros,BR,-5.1989,-35.4608,75.42,86,100,7.87,overcast clouds
31,mersin,TR,36.862,34.6509,67.48,39,0,4.0,clear sky
32,laguna,US,38.421,-121.4238,53.58,82,100,12.66,overcast clouds
33,ushuaia,AR,-54.8,-68.3,42.46,75,75,12.66,broken clouds
34,waitangi,NZ,-43.9535,-176.5597,55.81,92,100,4.0,overcast clouds
